"names","categories","sub_categories"
"Beasts","Creatures","Beasts"
"Acromantula","Creatures","Beasts"
"Augurey","Creatures","Beasts"
"Centaur","Creatures","Beasts"
"Diricawl","Creatures","Beasts"
"Dragon","Creatures","Beasts"
"Common Welsh Green","Creatures","Beasts"
"Hebridean Black","Creatures","Beasts"
"Hungarian Horntail","Creatures","Beasts"
"Dugbog","Creatures","Beasts"
"Fwooper","Creatures","Beasts"
"Giant Purple Toad","Creatures","Beasts"
"Giant Squid","Creatures","Beasts"
"Golden Snidget","Creatures","Beasts"
"Graphorn","Creatures","Beasts"
"Hippogriff","Creatures","Beasts"
"Jobberknoll","Creatures","Beasts"
"Kneazle","Creatures","Beasts"
"Mooncalf","Creatures","Beasts"
"Niffler","Creatures","Beasts"
"Phoenix","Creatures","Beasts"
"Puffskein","Creatures","Beasts"
"Thornback","Creatures","Beasts"
"Troll","Creatures","Beasts"
"Forest Troll","Creatures","Beasts"
"Mountain troll","Creatures","Beasts"
"River troll","Creatures","Beasts"
"Unicorn","Creatures","Beasts"
"Winged horse","Creatures","Beasts"
"Thestral","Creatures","Beasts"
"Goblin","Creatures","Beings"
"House-elf","Creatures","Beings"
"Boggart","Creatures","Spirits"
"Dementor","Creatures","Spirits"
"Ghost","Creatures","Spirits"
"Poltergeist","Creatures","Spirits"
"Inferius","Creatures","Inferius"
