"names","categories","sub_categories"
"Gringotts","Locations","Diagon Alley"
"Olivanders","Locations","Diagon Alley"
"East Hogsmeade Valley","Locations","Hogsmeade Valley"
"Falbarton Castle","Locations","Hogsmeade Valley"
"Hogsmeade","Locations","Hogsmeade Valley"
"Dervish and Banges","Locations","Hogsmeade Valley"
"Hog's Head Inn","Locations","Hogsmeade Valley"
"Hogsmeade station","Locations","Hogsmeade Valley"
"The Magic Neep","Locations","Hogsmeade Valley"
"Ollivanders","Locations","Hogsmeade Valley"
"Post Office","Locations","Hogsmeade Valley"
"Quality Quidditch Supplies","Locations","Hogsmeade Valley"
"Steeply and Sons Tea Shoppe","Locations","Hogsmeade Valley"
"The Three Broomsticks Inn","Locations","Hogsmeade Valley"
"Zonko's Joke Shop","Locations","Hogsmeade Valley"
"The Haunted Hogsmeade Shop","Locations","Hogsmeade Valley"
"Tomes and Scrolls","Locations","Hogsmeade Valley"
"The Great Hall","Locations","Hogwarts Castle"
"Hogwarts Library","Locations","Hogwarts Castle"
"Restricted Section","Locations","Hogwarts Castle"
"A Potions Classroom","Locations","Hogwarts Castle"
"A Charms Classroom","Locations","Hogwarts Castle"
"A Defence Against the Dark Arts Classroom","Locations","Hogwarts Castle"
"The Fat Lady's Corridor","Locations","Hogwarts Castle"
"The Gryffindor common room","Locations","Hogwarts Castle"
"The Gryffindor Boys' Dormitory","Locations","Hogwarts Castle"
"The Slytherin common room","Locations","Hogwarts Castle"
"The Hufflepuff common room","Locations","Hogwarts Castle"
"The Ravenclaw common room","Locations","Hogwarts Castle"
"The Hogwarts kitchens","Locations","Hogwarts Castle"
"A Herbology Classroom","Locations","Hogwarts Castle"
"The Prefects' Bathroom","Locations","Hogwarts Castle"
"The Room of Requirement","Locations","Hogwarts Castle"
"The Viaduct Courtyard","Locations","Hogwarts Castle"
"The Central Hall","Locations","Hogwarts Castle"
"The Transfiguration Courtyard","Locations","Hogwarts Castle"
"The Hall of Herodiana","Locations","Hogwarts Castle"
"The Hesperius Hall","Locations","Hogwarts Castle"
"The Gamekeeper's Hut","Locations","Hogwarts Castle"
"The Greenhouses","Locations","Hogwarts Castle"
"The Owlery","Locations","Hogwarts Castle"
"Forgotten passageway","Locations","Highlands"
"Horntail Hall","Locations","Highlands"
"Pitt-upon-Ford","Locations","Highlands"
"Upper Hogsfield","Locations","Highlands"
"Feldcroft","Locations","Highlands"
"Irondale","Locations","Highlands"
"Marunweem","Locations","Highlands"
"Bainburgh","Locations","Highlands"
"Cragcroft","Locations","Highlands"
"Clagmar Coast","Locations","Highlands"
"Brocburrow","Locations","Hogwarts Valley"
"Keenbridge","Locations","Hogwarts Valley"
"Forbidden Forest","Locations","North Hogwarts Region"
"Korrow Ruins","Locations","North Hogwarts Region"
"Aranshire","Locations","South Hogwarts Region"
"Hogwarts Quidditch pitch","Locations","South Hogwarts Region"
"Lower Hogsfield","Locations","South Hogwarts Region"
